num_task,cpu-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%)
28,10,480,102.53,35956.95,115406.71,6046.32,30794.68,34.59,23.79,0.00,35.32,230.27,97.51,79.04
30,10,480,111.79,36133.63,114019.53,5947.37,28870.90,30.94,23.82,0.00,33.14,230.38,97.75,83.84
31,10,480,114.43,36403.77,114545.94,5677.45,23397.03,30.55,23.81,0.00,32.08,230.13,97.90,86.28
32,10,480,114.22,35165.35,114598.72,5634.28,28973.41,30.54,23.81,0.00,31.02,229.92,97.92,88.64
33,10,480,120.05,35924.08,114875.70,5356.39,26283.91,29.37,23.80,0.00,30.13,227.96,98.21,90.98
34,10,480,124.15,36053.05,115377.26,5188.50,33654.24,28.42,23.84,0.00,29.23,209.40,98.22,93.41
31,10,480,113.44,35186.93,113900.35,5604.77,24052.58,31.02,23.81,0.00,32.07,228.45,98.06,86.15
31,10,480,114.43,36298.48,114439.81,5677.26,25634.19,30.76,23.83,0.00,32.01,228.51,98.02,86.22
31,10,480,112.81,35609.69,114196.68,5693.26,26407.26,31.38,23.81,0.00,32.13,228.75,98.00,86.30
32,10,480,117.31,36150.89,114524.72,5626.69,30777.06,30.29,23.82,0.00,31.05,228.74,98.07,88.57
32,10,480,118.61,36482.71,114688.44,5551.56,34488.50,29.49,23.77,0.00,30.96,227.01,97.91,88.70
32,10,480,116.27,35766.27,114315.38,5492.66,32445.28,30.10,23.78,0.00,31.01,228.54,98.03,88.72
33,10,480,121.69,36455.06,114657.21,5398.18,32220.64,29.02,23.81,0.00,30.20,221.99,98.12,90.92
33,10,480,122.14,36453.47,114848.52,5369.67,36494.88,28.76,23.78,0.00,30.04,226.52,98.02,90.78
33,10,480,122.02,36517.44,114925.18,5335.39,30572.18,28.45,23.79,0.00,30.15,225.22,98.26,90.91
34,10,480,125.24,36184.15,114590.94,5365.71,35460.06,27.71,23.80,0.00,29.07,210.11,98.09,93.23
34,10,480,124.90,36254.63,114682.03,5250.50,34277.18,28.11,23.81,0.00,29.21,213.30,98.22,93.43
34,10,480,125.69,36243.86,114011.76,5049.44,30973.50,27.94,23.79,0.00,29.05,212.81,98.36,93.92
35,10,480,126.12,35397.63,110711.69,4871.49,28994.77,26.90,23.80,0.00,28.25,203.45,98.25,96.06
35,10,480,126.17,35403.34,111233.74,4898.40,31682.11,26.75,23.79,0.00,28.27,201.18,98.24,96.32
35,10,480,126.18,35426.95,111252.94,4825.00,30618.91,26.86,23.79,0.00,28.29,201.60,98.16,96.04
36,10,480,126.10,34366.78,106520.50,4572.22,34571.11,25.47,23.78,0.00,27.46,197.97,98.32,98.14
36,10,480,126.17,34328.94,106509.19,4616.36,35846.06,25.55,23.79,0.00,27.41,197.95,98.19,98.16
36,10,480,126.32,34424.05,108825.08,4530.72,29854.36,25.92,23.78,0.00,27.46,198.07,98.20,98.03
37,10,480,126.52,23339.54,88478.92,6007.51,96127.35,17.14,23.79,0.00,29.37,191.50,95.83,96.42
37,10,480,146.39,35389.51,117913.92,5284.46,56636.05,24.84,23.83,0.00,27.53,197.14,97.32,98.18
37,10,480,126.73,33382.75,107093.70,4457.00,31164.46,25.35,23.79,0.00,26.62,196.88,98.07,98.34
38,10,480,124.38,27901.13,94741.42,5301.13,60691.71,17.04,23.76,0.00,29.12,192.51,97.57,98.01
38,10,480,124.81,27174.30,95139.18,5297.08,67753.39,16.91,23.78,0.00,27.30,192.28,97.49,97.73
38,10,480,125.08,29882.57,98869.55,4440.45,54518.42,19.13,23.76,0.00,27.57,193.02,97.57,98.24
12,10,720,67.91,54853.03,117914.67,5526.83,43280.17,50.60,23.74,0.00,81.15,326.75,96.02,52.97
12,10,720,65.73,53337.54,117121.67,5640.17,38834.08,52.06,23.79,0.00,81.56,327.01,95.98,52.88
12,10,720,66.58,52413.53,117416.17,5522.33,33367.58,51.53,23.80,0.00,81.40,326.02,95.95,52.78
16,10,720,85.89,52111.95,115100.06,4750.94,35736.06,39.97,23.85,0.00,61.66,327.63,97.24,67.16
16,10,720,87.68,53870.07,115791.94,4555.38,38586.19,40.16,23.81,0.00,61.67,328.16,97.27,68.50
16,10,720,87.52,53915.20,115289.81,4600.00,34909.06,39.58,23.84,0.00,61.84,328.02,97.26,68.45
18,10,720,96.08,52501.72,115171.11,4332.89,31263.39,37.06,23.84,0.00,54.88,327.81,97.63,73.16
18,10,720,97.75,52475.88,113636.17,4188.11,34252.00,36.01,23.84,0.00,55.08,329.46,97.88,73.59
18,10,720,98.70,54111.15,114616.89,4179.22,36380.17,35.51,23.85,0.00,55.10,329.86,97.79,73.46
20,10,720,108.88,53806.75,113347.55,3963.75,32044.75,32.36,23.84,0.00,49.58,329.74,98.09,80.91
20,10,720,108.99,53297.43,113467.20,3991.65,33072.00,32.44,23.84,0.00,49.61,329.12,98.07,80.81
20,10,720,106.83,52846.13,113543.45,4097.50,33372.60,32.48,23.88,0.00,49.70,327.35,98.01,80.21
21,10,720,112.15,52364.45,112692.67,3942.86,30260.62,30.98,23.91,0.00,47.40,327.90,98.23,83.97
21,10,720,110.53,51876.51,112950.48,3999.29,30064.10,32.04,23.86,0.00,47.49,327.93,98.14,83.97
21,10,720,113.40,53548.73,113123.86,3948.24,27987.52,31.02,23.85,0.00,47.52,328.80,98.20,84.21
22,10,720,117.76,52227.90,112272.59,3720.73,30390.91,29.70,23.86,0.00,45.28,328.17,98.29,87.54
22,10,720,117.35,52847.51,112414.50,3818.41,33470.64,30.20,23.88,0.00,45.21,329.11,98.25,87.65
22,10,720,117.66,53205.12,113498.77,3785.91,30412.55,29.94,23.87,0.00,45.42,328.10,98.23,87.28
23,10,720,122.16,52192.96,112601.96,3627.57,29160.17,28.74,23.90,0.00,43.26,323.63,98.34,90.69
23,10,720,122.67,52760.42,112856.00,3699.91,42817.87,28.72,23.82,0.00,43.30,328.51,98.35,91.04
23,10,720,121.01,52017.95,113215.09,3769.65,39224.17,28.91,23.89,0.00,43.28,324.98,98.33,90.93
24,10,720,126.34,51622.17,108550.08,3367.25,38292.17,26.72,23.87,0.00,41.04,305.93,98.07,94.67
24,10,720,126.59,51570.72,109440.46,3427.29,39479.46,26.54,23.86,0.00,40.96,306.06,97.95,94.39
24,10,720,125.66,51525.45,110665.12,3402.08,39826.25,26.95,23.88,0.00,41.18,304.98,98.40,94.74
25,10,720,126.30,49386.21,103817.36,3132.16,41029.48,24.93,23.86,0.00,39.43,298.38,98.32,97.77
25,10,720,126.26,49434.37,106923.56,3274.76,36134.40,26.18,23.85,0.00,39.33,297.47,98.11,97.63
25,10,720,126.33,49406.74,104153.24,3148.96,40060.96,25.32,23.87,0.00,39.36,298.04,98.14,97.86
26,10,720,124.17,34761.98,91570.77,5151.19,85629.08,11.70,23.80,0.00,41.74,285.27,96.28,96.22
26,10,720,122.72,43279.51,98850.50,3591.85,59535.31,17.98,23.82,0.00,41.37,289.57,97.40,97.61
26,10,720,123.45,40778.32,96558.92,4107.92,68767.92,15.65,23.86,0.00,40.29,288.48,96.78,97.21
27,10,720,118.73,39574.98,100076.70,3939.59,72785.85,16.79,23.72,0.00,39.03,284.32,96.19,96.81
27,10,720,120.91,27215.40,86128.56,5013.11,106402.11,10.13,23.49,0.00,39.06,278.37,91.51,95.29
27,10,720,119.08,38365.11,90501.15,3958.85,65992.67,14.69,23.58,0.00,40.67,285.38,96.04,97.18
28,10,720,114.59,38654.20,92470.86,3772.14,60337.21,16.51,23.09,0.00,40.51,280.15,93.54,97.05
28,10,720,115.49,34880.17,92344.14,5004.61,84602.68,14.06,23.07,0.00,39.29,279.03,94.69,96.25
28,10,720,115.57,32959.53,89582.93,5051.18,89581.86,12.08,23.39,0.00,38.62,279.12,93.17,96.27
8,10,1080,69.12,85232.11,124443.12,3256.12,37394.62,49.16,23.84,0.00,123.40,574.66,96.01,60.36
8,10,1080,70.51,87133.45,123964.00,3370.25,31401.12,49.03,23.90,0.00,123.79,578.74,96.09,60.70
8,10,1080,68.00,84125.38,123469.25,3276.12,32813.25,50.72,23.90,0.00,124.13,576.90,96.01,60.51
10,10,1080,84.26,84241.11,121321.40,3168.10,28957.80,41.13,23.93,0.00,100.35,578.09,97.21,73.73
10,10,1080,84.26,82852.01,120865.70,3121.60,29879.00,41.91,23.93,0.00,99.75,578.26,97.00,73.86
10,10,1080,84.07,84157.50,121625.50,3157.90,32888.20,40.71,23.95,0.00,100.43,578.53,97.01,73.60
11,10,1080,94.91,85033.12,120005.82,3110.45,30536.73,37.17,23.97,0.00,91.48,580.73,97.36,80.35
11,10,1080,97.88,88560.41,120843.00,3099.82,33233.73,35.81,23.96,0.00,90.84,581.52,97.56,80.57
11,10,1080,93.09,84809.81,121002.00,3043.18,30280.00,37.69,23.90,0.00,91.40,579.38,97.51,80.49
12,10,1080,98.19,82567.89,119521.75,2833.08,28164.42,35.25,23.92,0.00,84.26,579.95,97.72,86.76
12,10,1080,106.71,88806.88,121152.42,3067.08,30104.75,32.87,23.98,0.00,83.60,581.48,97.79,87.22
12,10,1080,102.64,85804.57,119225.17,2984.42,29987.58,33.61,23.93,0.00,83.80,579.64,97.65,87.22
13,10,1080,111.61,86208.21,120055.62,2943.92,28919.38,30.18,23.98,0.00,77.52,557.16,97.92,93.35
13,10,1080,111.38,85630.36,121446.69,3006.69,38129.15,31.07,23.98,0.00,77.01,566.53,97.95,93.30
13,10,1080,111.78,86396.92,121671.00,3042.31,36884.31,30.88,23.94,0.00,77.42,563.34,97.88,93.32
14,10,1080,153.72,33502.69,121016.29,3014.86,163161.64,7.58,23.89,0.00,83.81,481.02,81.53,86.92
14,10,1080,136.69,31812.65,107457.00,3905.79,142386.43,9.46,23.88,0.00,67.93,493.41,83.42,88.97
14,10,1080,163.14,38467.23,125283.86,5871.64,162882.86,8.22,23.91,0.00,72.85,494.50,84.70,89.50
10,5,480,68.46,33106.82,39678.90,2713.40,25900.00,50.56,23.81,0.00,48.39,155.77,96.14,25.45
10,5,480,68.28,33069.17,39509.80,2741.60,22699.60,51.16,23.81,0.00,48.61,156.78,96.16,25.55
10,5,480,70.26,34091.49,39064.30,2629.40,21824.30,48.54,23.85,0.00,48.74,157.63,96.17,25.70
12,5,480,82.16,32845.51,38275.58,2572.08,15063.83,42.08,23.88,0.00,41.08,157.35,96.99,28.65
12,5,480,81.97,32646.59,38497.17,2577.33,19760.58,42.38,23.83,0.00,40.94,157.44,96.88,28.60
12,5,480,82.30,33713.66,39179.92,2596.17,16519.08,41.95,23.84,0.00,41.09,158.33,97.11,28.80
14,5,480,94.27,33160.40,38828.29,2530.00,21517.79,36.97,23.83,0.00,35.31,157.71,97.53,31.74
14,5,480,93.33,32840.00,39116.36,2572.93,21710.71,37.44,23.90,0.00,35.28,157.29,97.50,31.69
14,5,480,94.77,31955.13,38013.64,2481.07,18219.36,37.27,23.87,0.00,35.25,157.40,97.65,31.74
16,5,480,107.83,33386.50,38603.44,2490.81,16525.56,32.17,23.92,0.00,31.06,158.26,97.98,34.91
16,5,480,106.88,32989.00,38688.00,2527.19,17531.44,32.55,23.89,0.00,30.96,157.99,98.05,34.90
16,5,480,109.26,33662.25,38731.38,2426.06,18043.38,31.87,23.93,0.00,30.90,158.09,97.89,34.91
17,5,480,114.46,33169.79,38406.29,2478.35,19064.06,30.93,23.90,0.00,29.07,157.54,98.11,36.34
17,5,480,115.25,33450.32,38666.59,2460.88,17693.94,30.41,23.89,0.00,29.16,158.33,98.04,36.45
17,5,480,113.97,33076.13,38759.12,2423.82,21390.12,30.70,23.90,0.00,29.13,157.69,98.08,36.31
18,5,480,122.99,33793.26,38579.61,2431.11,20134.33,28.42,23.89,0.00,27.59,159.77,98.43,39.05
18,5,480,121.37,33448.54,38445.00,2415.28,20752.33,28.72,23.90,0.00,27.63,159.48,98.39,38.99
18,5,480,119.36,32863.44,38420.33,2416.11,19365.94,29.32,23.91,0.00,27.60,158.92,98.43,38.91
19,5,480,128.65,33642.61,38596.05,2418.63,19069.32,27.42,23.91,0.00,26.21,159.91,98.53,40.64
19,5,480,128.66,33641.63,38657.16,2404.00,22171.21,27.31,23.91,0.00,26.23,159.63,98.49,40.47
19,5,480,126.07,32888.37,38552.21,2422.37,15474.95,28.05,23.91,0.00,26.18,159.24,98.47,40.49
20,5,480,134.06,33313.96,38354.75,2398.55,18666.90,26.26,23.92,0.00,24.85,159.52,98.61,42.03
20,5,480,133.37,33022.68,38404.35,2371.10,16059.30,26.22,23.89,0.00,24.87,159.37,98.59,41.96
20,5,480,134.96,33411.54,38482.50,2364.85,18381.95,25.92,23.90,0.00,24.81,159.32,98.58,42.04
6,5,720,59.97,48496.19,38665.83,2284.67,19333.83,57.27,23.88,0.00,81.64,222.41,95.67,25.29
6,5,720,61.15,48078.71,38038.67,2191.83,18894.00,57.44,23.91,0.00,81.59,222.64,95.74,25.30
6,5,720,61.13,48433.42,38282.00,2204.67,20472.50,54.88,23.92,0.00,82.06,223.92,95.71,25.33
8,5,720,81.32,49986.13,39152.75,2252.12,23176.62,43.60,23.99,0.00,61.65,222.88,96.95,30.03
8,5,720,75.56,45768.70,38110.25,2250.25,21312.88,46.28,23.96,0.00,61.68,220.55,96.80,29.74
8,5,720,81.35,50397.68,39317.38,2253.25,22296.00,42.40,23.95,0.00,61.97,223.83,96.99,29.88
10,5,720,99.17,49432.48,38998.30,2297.90,21490.00,34.67,24.01,0.00,49.96,222.06,97.67,34.20
10,5,720,100.05,49017.54,38494.30,2301.30,19693.50,34.12,23.99,0.00,49.97,222.87,97.66,34.27
10,5,720,98.06,49075.59,38628.80,2312.20,24013.80,36.28,23.99,0.00,50.09,222.66,97.64,34.15
12,5,720,118.26,49507.39,38845.42,2341.33,21751.33,29.12,23.99,0.00,41.87,222.62,98.16,38.73
12,5,720,118.65,49562.08,37228.75,2158.00,18417.75,29.17,24.02,0.00,41.75,222.55,98.17,38.77
12,5,720,118.32,49269.51,38793.50,2350.58,18940.50,28.50,24.05,0.00,41.68,221.41,98.17,38.63
13,5,720,129.97,50360.66,38847.54,2415.92,20917.92,26.60,24.06,0.00,38.73,222.99,98.39,40.98
13,5,720,126.27,48947.92,38502.69,2373.38,18757.23,27.25,24.04,0.00,38.81,221.77,98.36,40.84
13,5,720,132.78,50506.16,38429.92,2407.92,21179.54,25.74,24.03,0.00,38.68,222.15,98.48,40.95
14,5,720,141.54,51229.05,39509.43,2461.57,21210.64,25.07,24.06,0.00,36.28,222.20,98.59,43.12
14,5,720,139.24,50348.91,38970.36,2367.79,19974.79,25.19,24.04,0.00,36.13,222.00,98.52,43.09
14,5,720,144.40,51811.27,39574.21,2511.14,22004.29,24.15,24.07,0.00,35.85,223.53,98.64,43.49
15,5,720,142.07,46931.71,37757.40,2340.40,18289.53,24.95,24.05,0.00,33.57,222.62,98.66,45.60
15,5,720,142.26,47883.34,38046.80,2352.87,20506.73,24.55,24.06,0.00,33.74,222.25,98.65,45.37
15,5,720,137.25,46258.42,38019.33,2292.20,22634.00,25.56,24.04,0.00,33.72,221.96,98.60,45.31
4,5,1080,62.14,75870.65,44900.25,1987.25,14771.75,52.66,23.99,0.00,123.27,367.57,95.16,27.59
4,5,1080,60.60,71946.68,43617.50,2044.00,16309.00,58.73,23.98,0.00,122.47,369.32,94.87,27.72
4,5,1080,62.61,74062.03,43322.25,1941.00,14875.25,56.24,24.01,0.00,122.68,368.77,95.16,27.67
