num_task,cpu-allocated,memory-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%),frame_generated
28,10,8321482752,480,108.89,38016.99,115844.25,5907.89,28700.43,32.62,23.82,0.00,35.42,230.48,97.89,84.03,3548.9478934672647
28,10,8321482752,480,110.03,38795.59,116128.86,6051.25,31539.61,31.74,23.81,0.00,35.34,230.12,97.90,83.98,3511.017587796204
28,10,8321482752,480,107.43,37872.35,115789.32,6157.25,31447.14,31.64,23.82,0.00,35.34,229.90,97.85,83.86,3456.671217504789
32,10,8321482752,480,128.10,39617.69,116125.75,5267.19,28366.53,26.88,23.80,0.00,31.07,203.76,98.50,93.79,3477.507217070871
32,10,8321482752,480,125.58,38762.96,116489.50,5493.97,36562.09,27.15,23.81,0.00,30.93,212.12,98.15,93.52,3469.1687789077473
32,10,8321482752,480,127.27,39300.70,116511.38,5389.12,37074.78,27.16,23.79,0.00,30.97,213.15,98.20,93.42,3484.728519604763
36,10,8321482752,480,395.20,58697.60,236661.53,13842.06,197932.81,5.43,23.89,0.00,29.10,195.61,97.09,97.86,2776.0862077757324
36,10,8321482752,480,142.42,39279.73,116842.25,4852.33,35451.33,24.02,23.79,0.00,27.68,200.48,98.50,97.00,3468.790043381517
36,10,8321482752,480,142.48,39172.17,116887.94,4948.28,33254.81,24.12,23.80,0.00,27.61,200.23,98.60,97.17,3479.7097167911998
38,10,8321482752,480,426.21,60265.94,250820.50,17410.92,230774.16,12.85,23.89,0.00,27.79,194.41,97.04,98.38,3524.695306292492
38,10,8321482752,480,359.87,55524.03,212972.45,16158.61,169537.61,12.10,23.87,0.00,27.97,194.65,96.78,98.40,3530.884173025351
38,10,8321482752,480,482.04,62926.18,251596.37,21769.39,218238.53,7.35,23.90,0.00,27.98,195.12,97.49,98.51,3527.0214764803563
39,10,8321482752,480,448.78,60267.58,248313.82,19568.38,218504.28,8.49,23.74,0.00,28.49,194.14,95.82,98.54,3445.8135729141472
14,10,8321482752,720,80.13,56107.55,117310.57,5078.79,43778.64,42.45,23.82,0.00,70.06,328.40,97.24,60.75,3460.7074438212126
