num_task, cpu-allocated, resolution, time-elapsed, task-clock(ms) ,context-switches ,cpu-migrations ,page-faults ,avg-fps ,avg-q ,avg-bitrate(kbits/s) ,avg-process-CPU(%) ,avg-process-Memory(MB) ,avg-system-CPU(%) ,avg-system-Memory(%)
2,10,1080,122.28,422755.64,200368.00,16762.00,25994.50,29.49,22.56,0.00,349.15,715.70,69.72,29.96
2,10,1080,121.53,393042.28,177168.50,18052.00,22485.50,29.50,23.88,0.00,324.56,533.80,64.55,25.91
10,10,1080,264.62,258993.56,169261.40,4697.40,29489.10,13.54,24.05,0.00,98.41,537.38,98.43,74.75
10,10,1080,120.76,92737.74,147010.00,25604.90,19277.90,29.49,23.99,0.00,76.99,533.77,76.13,75.45
1,10,1080,121.68,200765.88,130316.00,20188.00,21774.00,29.55,23.91,0.00,166.57,535.22,15.04,20.77
2,10,1080,120.24,197092.03,135318.00,30850.00,22370.50,29.48,23.94,0.00,164.28,535.92,31.39,26.59
4,10,1080,122.31,169726.86,146374.75,29754.25,22139.50,29.49,23.94,0.00,139.98,527.34,55.19,38.49
4,10,1080,122.19,169760.10,146571.25,29997.00,21152.25,29.49,24.01,0.00,140.46,533.41,56.08,39.12
8,10,1080,121.28,108896.01,147951.50,26404.12,19043.00,29.50,24.02,0.00,90.13,533.58,71.90,63.31
16,10,1080,3.03,602.29,1851.19,78.31,5750.12,14.16,23.23,0.00,68.57,458.98,91.80,95.53
12,10,1080,121.19,86233.55,137931.25,14068.92,22914.83,29.44,24.03,0.00,71.32,530.77,85.43,86.38
14,10,1080,121.64,81159.20,128611.36,8179.07,25311.57,28.82,24.04,0.00,67.11,501.73,93.85,98.13
15,10,1080,114.61,78181.63,115786.40,3148.47,30870.80,26.87,23.28,0.00,67.51,474.26,94.20,96.21
16,10,1080,107.28,71878.88,109640.88,3907.06,30342.25,25.09,22.28,0.00,64.65,464.71,90.31,96.22
1,10,1080,121.48,204040.74,130634.00,20283.00,23580.00,29.48,24.08,0.00,169.43,529.77,15.37,14.11
2,10,1080,122.27,197106.22,135928.00,30888.00,20937.50,29.49,23.99,0.00,163.13,530.80,31.38,20.17
3,10,1080,122.21,185368.28,142844.33,32288.67,21220.00,29.49,23.98,0.00,153.35,530.96,45.14,26.25
4,10,1080,122.19,167361.26,144205.00,29461.50,21496.00,29.48,23.96,0.00,138.47,531.01,54.76,32.27
